SampleID,SampleRowID,StationCode,SampleDate,SampleTime,MethodCode,GearID,GearConditionCode,SampleAltered,WeatherCode,VegetationRank,MicrocystisVisualRank,YSI Handheld #,WaterTemperature,Secchi,Too Clear For Secchi,Conductivity,SpCnd,DO,pH,Turbidity,Entered By,Checked By,UserName,AgencyCode,s_ColLineage,s_Generation,s_Lineage,DataCorrectionComments
2142,{0C8275F2-5F48-42B3-A135-0BBEE23EB32E},YB,4/17/1998,10:40:00 AM,BSEIN,SEINENCL,1,No,CLR,,,,16.67,,FALSE,,,,,,,,Imported98Record,,,0,,
2143,{51F6F179-D23A-493F-A419-7C6FEE02B392},YB,4/17/1998,11:52:00 AM,BSEIN,SEINENCL,1,No,CLR,,,,19.44,,FALSE,,,,,,,,Imported98Record,,,0,,
2144,{694D6055-7DE2-4D35-AB61-01421C8B2BD6},YB,4/17/1998,12:30:00 PM,BSEIN,SEIN50,1,No,CLR,,,,20.00,,FALSE,,,,,,,,Imported98Record,,,0,,
2145,{FCAB0F5C-A12B-430A-B87A-C36F855C9A66},YB,4/17/1998,12:40:00 PM,BSEIN,SEIN50,1,No,CLR,,,,20.00,,FALSE,,,,,,,,Imported98Record,,,0,,
2146,{0978C24F-B32D-4EBD-8DDF-FCF30393CFF0},YB,4/20/1998,12:50:00 PM,BSEIN,SEINENCL,3,No,CLR,,,,21.67,,FALSE,,,,,,,,Imported98Record,,,0,,
2147,{6C6ED906-F703-4D2B-AD0F-38F6082C093A},YB,4/20/1998,1:00:00 PM,BSEIN,SEIN50,1,No,CLR,,,,21.67,,FALSE,,,,,,,,Imported98Record,,,0,,
2148,{DCA94A09-8A00-4406-A568-F1D94EE7CB54},YB,4/20/1998,1:12:00 PM,BSEIN,SEIN50,1,No,CLR,,,,21.67,,FALSE,,,,,,,,Imported98Record,,,0,,
2149,{94192974-2DEA-4338-BFFD-CBE3DE790DE1},YB,4/20/1998,1:24:00 PM,BSEIN,SEIN50,1,No,CLR,,,,21.67,,FALSE,,,,,,,,Imported98Record,,,0,,
2150,{5534C3F1-E3DA-4995-82BA-944CDBB84838},YB,4/20/1998,1:36:00 PM,BSEIN,SEIN50,1,No,CLR,,,,22.22,,FALSE,,,,,,,,Imported98Record,,,0,,
2151,{4359AF13-7EE1-4A68-ACF3-0AD93CB7F3D2},YB,4/28/1998,1:09:00 PM,BSEIN,SEINENCL,2,No,CLR,,,,23.89,,FALSE,,,,,,,,Imported98Record,,,0,,
2152,{1783164C-BE22-4ACC-8971-D2EFDBC79F06},YB,4/28/1998,1:15:00 PM,BSEIN,SEINENCL,2,No,CLR,,,,23.89,,FALSE,,,,,,,,Imported98Record,,,0,,
2153,{7DA5A237-1908-4616-8EA5-A743B04C46DA},YB,4/28/1998,1:38:00 PM,BSEIN,SEIN50,1,No,CLR,,,,23.89,,FALSE,,,,,,,,Imported98Record,,,0,,
2154,{02847118-BB3A-4BC7-A6B2-BE7276A06BC3},YB,4/28/1998,2:20:00 PM,BSEIN,SEIN50,1,No,CLR,,,,26.11,,FALSE,,,,,,,,Imported98Record,,,0,,
2155,{ECE5F99E-2900-4CF2-9C56-14CBEEF48DF6},YB,4/28/1998,2:35:00 PM,BSEIN,SEIN50,1,No,CLR,,,,26.11,,FALSE,,,,,,,,Imported98Record,,,0,,
2156,{D127B2A7-3631-4558-8883-C7EFCEA018C4},YB,4/30/1998,9:45:00 AM,BSEIN,SEIN50,1,No,CLR,,,,20.00,,FALSE,,,,,,,,Imported98Record,,,0,,
2157,{20A63FC7-C35C-4A1F-81EB-86328EDE87B2},YB,4/30/1998,10:10:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,21.11,,FALSE,,,,,,,,Imported98Record,,,0,,
2158,{A41D2319-C7EC-47F8-9964-8E7F62F71CD7},YB,4/30/1998,10:15:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,21.11,,FALSE,,,,,,,,Imported98Record,,,0,,
2159,{B13BBBD1-7DF7-4411-BD77-24481EFBB66D},YB,4/30/1998,10:20:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,21.11,,FALSE,,,,,,,,Imported98Record,,,0,,
2160,{A4BD2C00-16EC-4ACE-9D16-7A46AE4A6BD0},YB,4/30/1998,10:57:00 AM,BSEIN,SEIN50,2,No,CLR,,,,21.11,,FALSE,,,,,,,,Imported98Record,,,0,,
2161,{503A1F35-5978-444E-BC83-5CE454F7986F},YB,4/30/1998,11:32:00 AM,BSEIN,SEINENCL,2,No,CLR,,,,22.22,,FALSE,,,,,,,,Imported98Record,,,0,,
2162,{2B289384-7D61-453A-B1CC-4C8AC99FF8FC},YB,4/30/1998,12:45:00 PM,BSEIN,SEIN50,2,No,CLR,,,,23.33,,FALSE,,,,,,,,Imported98Record,,,0,,
2163,{C38E2193-F2E1-4898-B572-61843A10384E},YB,4/30/1998,1:31:00 PM,BSEIN,SEINENCL,1,No,CLR,,,,23.33,,FALSE,,,,,,,,Imported98Record,,,0,,
2164,{02B04DF2-D761-4D6C-8728-62A976AEEA22},YB,4/30/1998,1:36:00 PM,BSEIN,SEINENCL,1,No,CLR,,,,23.33,,FALSE,,,,,,,,Imported98Record,,,0,,
2165,{3E671435-04AF-4554-AD21-18D1F90BBC04},YB,6/15/1998,1:40:00 PM,BSEIN,SEIN50,1,No,CLR,,,,28.89,,FALSE,,,,,,,,Imported98Record,,,0,,
2166,{427AE85E-A098-4687-AE75-893512F51956},YB,6/15/1998,1:55:00 PM,BSEIN,SEIN50,1,No,CLR,,,,30.00,,FALSE,,,,,,,,Imported98Record,,,0,,
2167,{904CD277-32E7-4467-84F2-8C6C7FB95C6F},YB,6/15/1998,2:30:00 PM,BSEIN,SEIN50,1,No,CLR,,,,29.44,,FALSE,,,,,,,,Imported98Record,,,0,,
2168,{A489F283-0687-48AB-9B32-FE5D9E6D28CA},YB,7/14/1998,9:40:00 AM,BSEIN,SEIN50,1,No,CLR,,,,24.44,,FALSE,,,,,,,,Imported98Record,,,0,,
2169,{BCDA25EC-0E14-4661-9252-8778BD9D8D7E},YB,7/14/1998,11:00:00 AM,BSEIN,SEIN50,1,No,CLR,,,,27.22,,FALSE,,,,,,,,Imported98Record,,,0,,
2170,{7295D309-8143-4ADC-B5B7-1B70B0F6C7CA},YB,8/28/1998,8:30:00 AM,BSEIN,SEIN50,1,No,CLR,,,,22.78,,FALSE,,,,,,,,Imported98Record,,,0,,
2171,{0E969B0C-AD7E-4A3B-87ED-63AA6375521D},YB,10/9/1998,10:41:00 AM,BSEIN,SEIN50,1,No,CLR,,,,18.89,,FALSE,,,,,,,,Imported98Record,,,0,,
2172,{5D96AF9E-A1ED-436F-A1B9-C557579BD385},YB,11/23/1998,11:03:00 AM,BSEIN,SEIN50,1,No,RAN,,,,14.44,,FALSE,,,,,,,,Imported98Record,,,0,,
2173,{594E38E5-0BD8-11D4-BCF6-006008038FF4},YB,12/21/1998,12:35:00 PM,BSEIN,SEIN50,,No,CLR,,,,3.33,,FALSE,,,,,,WB,RK,Admin,DWRESOYO,,0,,
2174,{594E38E6-0BD8-11D4-BCF6-006008038FF4},YB,1/11/1999,11:27:00 AM,BSEIN,SEIN50,,No,FOG,,,,5.83,,FALSE,,,,,,WB,RK,Admin,DWRESOYO,,0,,
2175,{594E38E7-0BD8-11D4-BCF6-006008038FF4},YB,2/8/1999,11:34:00 AM,BSEIN,SEIN50,,No,RAN,,,,9.72,,FALSE,,,,,,WB,RK,Admin,DWRESOYO,,0,,
2176,{594E38E8-0BD8-11D4-BCF6-006008038FF4},YB,2/22/1999,1:15:00 PM,BSEIN,SEIN50,,No,CLR,,,,10.83,,FALSE,,,,,,WB,RK,Admin,DWRESOYO,,0,,
2177,{594E38E9-0BD8-11D4-BCF6-006008038FF4},YB,2/24/1999,2:03:00 PM,BSEIN,SEIN50,,No,CLD,,,,12.22,,FALSE,,,,,,WB,RK,Admin,DWRESOYO,,0,,
2178,{594E38EA-0BD8-11D4-BCF6-006008038FF4},YB,3/3/1999,7:23:00 AM,BSEIN,SEIN50,,No,CLR,,,,11.67,0.2,FALSE,,,,,,WB,RK,Admin,dwresoyo,,0,,
2179,{594E38EB-0BD8-11D4-BCF6-006008038FF4},YB,3/3/1999,7:46:00 AM,BSEIN,SEIN50,,No,CLR,,,,11.67,0.22,FALSE,,,,,,WB,RK,Admin,dwresoyo,,0,,
2180,{594E38EC-0BD8-11D4-BCF6-006008038FF4},YB,3/26/1999,11:15:00 AM,BSEIN,SEIN50,,No,CLD,,,,15.00,,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2181,{594E38ED-0BD8-11D4-BCF6-006008038FF4},YB,3/26/1999,11:40:00 AM,BSEIN,SEIN50,,No,CLR,,,,15.00,,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2182,{594E38EE-0BD8-11D4-BCF6-006008038FF4},YB,3/26/1999,12:00:00 PM,BSEIN,SEIN50,,No,CLR,,,,18.33,,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2183,{594E38EF-0BD8-11D4-BCF6-006008038FF4},YB,3/26/1999,12:25:00 PM,BSEIN,SEIN50,,No,CLR,,,,18.33,,FALSE,,,,,,Wb,RK,wbatham,dwresoyo,,0,,
2184,{594E38F0-0BD8-11D4-BCF6-006008038FF4},YB,3/29/1999,12:30:00 PM,BSEIN,SEIN50,,No,CLD,,,,16.67,0.22,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2185,{594E38F1-0BD8-11D4-BCF6-006008038FF4},YB,3/29/1999,1:01:00 PM,BSEIN,SEIN50,,No,CLR,,,,16.67,0.23,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2186,{594E38F2-0BD8-11D4-BCF6-006008038FF4},YB,3/29/1999,1:20:00 PM,BSEIN,SEIN50,,No,CLD,,,,16.67,0.25,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2187,{594E38F3-0BD8-11D4-BCF6-006008038FF4},YB,3/29/1999,1:39:00 PM,BSEIN,SEIN50,,No,CLR,,,,16.67,0.23,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2188,{594E38F4-0BD8-11D4-BCF6-006008038FF4},YB,3/29/1999,2:00:00 PM,BSEIN,SEIN50,,No,CLR,,,,17.22,0.18,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2189,{594E38F5-0BD8-11D4-BCF6-006008038FF4},YB,4/8/1999,1:00:00 PM,BSEIN,SEIN50,,No,CLD,,,,12.22,,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2190,{594E38F6-0BD8-11D4-BCF6-006008038FF4},YB,4/8/1999,1:15:00 PM,BSEIN,SEIN50,,No,CLD,,,,12.22,,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2191,{594E38F7-0BD8-11D4-BCF6-006008038FF4},YB,4/14/1999,1:25:00 PM,BSEIN,SEIN50,,No,CLR,,,,22.78,,FALSE,,,,,,WB,RK,Guest,dwresoyo,,0,,
2192,{594E38F8-0BD8-11D4-BCF6-006008038FF4},YB,4/14/1999,2:00:00 PM,BSEIN,SEIN50,2,No,CLR,,,,24.44,,FALSE,,,,,,WB,RK,Guest,dwresoyo,,0,,
2193,{594E38F9-0BD8-11D4-BCF6-006008038FF4},YB,4/14/1999,2:30:00 PM,BSEIN,SEIN50,2,No,CLR,,,,21.11,,FALSE,,,,,,,,Guest,dwresoyo,,0,,
2194,{594E38FA-0BD8-11D4-BCF6-006008038FF4},YB,4/14/1999,2:40:00 PM,BSEIN,SEIN100,1,No,CLR,,,,21.67,,FALSE,,,,,,Wb,RK,Guest,dwresoyo,,0,,
2195,{594E38FB-0BD8-11D4-BCF6-006008038FF4},YB,5/26/1999,10:43:00 AM,BSEIN,SEIN50,,No,CLR,,,,24.44,,FALSE,,,,,,WB,RK,Admin,dwresoyo,,0,,
2196,{594E38FC-0BD8-11D4-BCF6-006008038FF4},YB,7/27/1999,10:09:00 AM,BSEIN,SEIN50,,No,CLD,,,,,,FALSE,,,,,,Wb,RK,Admin,dwresoyo,,0,,
2197,{594E38FD-0BD8-11D4-BCF6-006008038FF4},YB,8/30/1999,8:56:00 AM,BSEIN,SEIN50,,No,CLR,,,,24.44,0.14,FALSE,,,,,,RK,WB,Admin,dwresoyo,,0,,
2198,{594E38FE-0BD8-11D4-BCF6-006008038FF4},YB,10/1/1999,9:30:00 AM,BSEIN,SEIN50,,No,CLR,,,,20.56,,FALSE,,,,,,WB,WB,Admin,dwresoyo,,0,,
2199,{594E3901-0BD8-11D4-BCF6-006008038FF4},YB,10/28/1999,1:55:00 PM,BSEIN,SEIN50,,No,CLD,,,,18.89,,FALSE,,,,,,WB,JA,Admin,dwresoyo,,0,,
2200,{594E3779-0BD8-11D4-BCF6-006008038FF4},YB,11/29/1999,11:15:00 AM,BSEIN,SEIN50,1,No,FOG,,,,11.94,0.12,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2201,{594E3788-0BD8-11D4-BCF6-006008038FF4},YB,12/27/1999,12:25:00 PM,BSEIN,SEIN50,1,No,CLR,,,,9.44,0.26,FALSE,,,,,,WB,RK,wbatham,dwresoyo,,0,,
2202,{594E379E-0BD8-11D4-BCF6-006008038FF4},YB,1/27/2000,11:00:00 AM,BSEIN,SEIN50,1,No,FOG,,,,11.11,0.14,FALSE,,,,,,Wb,WB,wbatham,dwresoyo,,0,,
2203,{594E37B5-0BD8-11D4-BCF6-006008038FF4},YB,2/16/2000,11:10:00 AM,BSEIN,SEIN50,1,No,RAN,,,,,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2204,{594E37B6-0BD8-11D4-BCF6-006008038FF4},YB,2/16/2000,11:20:00 AM,BSEIN,SEIN50,,No,RAN,,,,,,FALSE,,,,,,WB,WB,Admin,dwresoyo,,0,,
2205,{594E37CF-0BD8-11D4-BCF6-006008038FF4},YB,2/16/2000,2:57:00 PM,BSEIN,SEIN50,1,No,CLD,,,,12.78,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2206,{594E37D4-0BD8-11D4-BCF6-006008038FF4},YB,2/23/2000,10:30:00 AM,BSEIN,SEIN50,1,No,CLR,,,,11.11,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2207,{594E37D9-0BD8-11D4-BCF6-006008038FF4},YB,3/1/2000,12:45:00 PM,BSEIN,SEIN50,1,No,CLR,,,,13.06,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2208,{594E37E0-0BD8-11D4-BCF6-006008038FF4},YB,3/7/2000,12:59:00 PM,BSEIN,SEIN50,1,No,CLD,,,,11.67,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2209,{594E37E9-0BD8-11D4-BCF6-006008038FF4},YB,3/14/2000,1:15:00 PM,BSEIN,SEIN50,1,No,CLR,,,,,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2210,{594E37EA-0BD8-11D4-BCF6-006008038FF4},YB,3/14/2000,1:45:00 PM,BSEIN,SEIN50,1,No,CLR,,,,,,FALSE,,,,,,Wb,WB,wbatham,dwresoyo,,0,,
2211,{594E37F3-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,11:45:00 AM,BSEIN,SEIN50,1,No,CLR,,,,19.28,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2212,{594E37F4-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,12:00:00 PM,BSEIN,SEIN50,1,No,CLR,,,,18.89,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2213,{594E37F5-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,12:15:00 PM,BSEIN,SEIN50,1,No,CLR,,,,18.33,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2214,{594E37F6-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,12:20:00 PM,BSEIN,SEIN50,1,No,CLR,,,,18.33,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2215,{594E37F7-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,12:30:00 PM,BSEIN,SEIN50,1,No,CLR,,,,18.33,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2216,{594E37F8-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,1:00:00 PM,BSEIN,SEIN50,1,No,CLR,,,,18.33,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2217,{594E37F9-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,1:10:00 PM,BSEIN,SEIN50,1,No,CLR,,,,18.33,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2218,{594E37FA-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,1:20:00 PM,BSEIN,SEIN50,1,No,CLR,,,,17.78,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2219,{594E37FB-0BD8-11D4-BCF6-006008038FF4},YB,3/24/2000,1:33:00 PM,BSEIN,SEIN50,1,No,CLR,,,,17.78,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2220,{594E37FF-0BD8-11D4-BCF6-006008038FF4},YB,3/28/2000,2:09:00 PM,BSEIN,SEIN50,1,No,CLR,,,,19.72,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2221,{594E3800-0BD8-11D4-BCF6-006008038FF4},YB,3/28/2000,2:45:00 PM,BSEIN,SEIN50,1,No,CLD,,,,19.72,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2222,{594E3801-0BD8-11D4-BCF6-006008038FF4},YB,3/28/2000,3:00:00 PM,BSEIN,SEIN50,1,No,CLD,,,,19.72,,FALSE,,,,,,WB,WB,wbatham,dwresoyo,,0,,
2223,{4FBF1270-16B5-11D4-A9FB-02608CDA3A19},YB,4/6/2000,8:15:00 AM,BSEIN,SEIN100,1,No,NIT,,,,21.67,,FALSE,,,,,,WB,WB,wbatham,,,0,,
2224,{4FBF1294-16B5-11D4-A9FB-02608CDA3A19},YB,4/7/2000,6:15:00 AM,BSEIN,SEIN50,1,No,CLR,,,,17.78,,FALSE,,,,,,WB,WB,wbatham,,,0,,
2225,{4FBF12CE-16B5-11D4-A9FB-02608CDA3A19},YB,4/7/2000,6:45:00 AM,BSEIN,SEIN50,1,No,CLR,,,,17.78,,FALSE,,,,,,WB,WB,wbatham,,,0,,
2226,{4EC69E2F-2066-11D4-B659-00104B2A7B96},YB,4/27/2000,11:30:00 AM,BSEIN,SEIN50,1,No,CLD,,,,21.67,0.13,FALSE,,,,,,WB,WB,wbatham,,,0,,
2227,{E96A492D-363C-11D4-B671-00104B2A7B96},YB,5/25/2000,10:30:00 AM,BSEIN,SEIN50,1,No,CLR,,,,24.17,,FALSE,,,,,,Wb,WB,wbatham,,,0,,
2228,{7FB5A562-4C61-11D4-B685-00104B2A7B96},YB,6/26/2000,11:00:00 AM,BSEIN,SEIN50,1,No,CLR,,,,26.11,0.1,FALSE,,,,,,TS,WB,wbatham,,,0,,
2229,{FF9DEA4B-672A-11D4-B6A0-00104B2A7B96},YB,7/27/2000,9:50:00 AM,BSEIN,SEIN50,1,No,CLR,,,,25.28,0.07,FALSE,,,,,,GO,GO,goleary,,,0,,
2230,{F442707C-8982-11D4-B6D1-00104B2A7B96},YB,9/8/2000,12:50:00 PM,BSEIN,SEIN50,1,No,CLR,,,,26.11,0.1,FALSE,,,,,,GO,GO,wbatham,,,0,,
2231,{E72F073B-9AD8-11D4-BC0D-00104B2A7B96},YB,9/29/2000,10:45:00 AM,BSEIN,SEIN50,1,No,CLR,,,,25.56,0.17,FALSE,,,,,,GO,GO,goleary,,,0,,
2232,{0A13F1BD-B1BD-11D4-BC24-00104B2A7B96},YB,11/1/2000,10:50:00 AM,BSEIN,SEIN50,1,No,CLR,,,,15.00,0.28,FALSE,,,,,,GO,GO,goleary,,,0,,
2233,{554387B3-CF9F-11D4-BC3D-00104B2A7B96},YB,11/29/2000,11:30:00 AM,BSEIN,SEIN50,1,No,CLD,,,,10.00,0.18,FALSE,,,,,,GO,GO,goleary,,,0,,
2234,{C310CB6E-E34D-11D4-BC4D-00104B2A7B96},YB,12/29/2000,11:10:00 AM,BSEIN,SEIN50,1,No,CLR,,,,7.50,0.3,FALSE,,,,,,GO,GO,goleary,,,0,,
2235,{31B9D680-F710-11D4-BC67-00104B2A7B96},YB,1/25/2001,11:15:00 AM,BSEIN,SEIN50,1,No,CLD,,,,8.33,0.24,FALSE,,,,,,go,ja,goleary,,,0,,
2236,{3DFBE78E-14A3-11D5-BC9F-00104B2A7B96},YB,3/1/2001,1:42:00 PM,BSEIN,SEIN50,1,No,CLD,,,,15.28,0.07,FALSE,,,,,,go,GO,goleary,,,0,,
2237,{BDACA4F3-27B1-11D5-B11D-00105AAA0B77},YB,3/20/2001,12:15:00 PM,BSEIN,SEIN50,1,No,CLR,,,,21.11,0.08,FALSE,,,,,,LC,GO,lconrad,,,0,,\
2238,{13730555-4EDA-11D5-B14D-00105AAA0B77},YB,5/4/2001,9:45:00 AM,BSEIN,SEIN50,1,No,CLR,,,,18.33,0.12,FALSE,,,,,,GO,LC,lconrad,,,0,,
2239,{DE2C726E-56C6-11D5-B15B-00105AAA0B77},YB,5/31/2001,10:56:00 AM,BSEIN,SEIN50,1,No,CLR,,,,26.11,0.09,FALSE,,,,,,SZ,GO,goleary,,,0,,
2240,{2676395E-69B5-11D5-BD16-00104B2A7B96},YB,6/25/2001,9:45:00 AM,BSEIN,SEIN50,1,No,CLD,,,,21.67,0.1,FALSE,,,,,,SZ,GO,goleary,,,0,,
2241,{80D2984C-95AB-11D5-BD43-00104B2A7B96},YB,7/23/2001,10:50:00 AM,BSEIN,SEIN50,1,No,CLR,,,,24.44,0.1,FALSE,,,,,,SZ,GO,goleary,,,0,,
2242,{9E94812F-B204-11D5-B1C6-00105AAA0B77},YB,8/20/2001,10:30:00 AM,BSEIN,SEIN50,1,No,CLR,,,,22.22,0.1,FALSE,,,,,,GO,SZ,szeug,,,0,,
2243,{CAEF44D9-B1FB-11D5-BD5A-00104B2A7B96},YB,9/24/2001,10:15:00 AM,BSEIN,SEIN50,1,No,CLR,,,,20.00,0.09,FALSE,,,,,,SZ,GO,goleary,,,0,,
2244,{4E04C30B-D3B0-11D5-BD7B-00104B2A7B96},YB,10/30/2001,9:45:00 AM,BSEIN,SEIN50,1,No,RAN,,,,16.20,0.13,FALSE,945,,,,,,JA,goleary,,,0,,
2245,{388ADC1A-EA72-11D5-BD92-00104B2A7B96},YB,11/28/2001,9:44:00 AM,BSEIN,SEIN50,1,No,CLD,,,,9.30,0.17,FALSE,718,,,,,GO,GO,goleary,,,0,,
2246,{3488CD90-F59F-11D5-BD9C-00104B2A7B96},YB,12/18/2001,11:05:00 AM,BSEIN,SEIN50,1,No,CLD,,,,10.70,0.13,FALSE,,,,,,SZ,JA,goleary,,,0,,
2247,{22F26324-151A-11D6-BDB5-00104B2A7B96},YB,1/8/2002,1:45:00 PM,BSEIN,SEIN50,1,No,FOG,,,,11.67,,FALSE,,,,,,GO,GO,goleary,,,0,,
2248,{B195FFF5-21A5-11D6-BDC2-00104B2A7B96},YB,1/25/2002,3:25:00 PM,BSEIN,SEIN50,1,No,CLD,,,,10.20,0.32,FALSE,444,,,,,GO,GO,goleary,,,0,,
2249,{C606872C-2D64-11D6-BDCD-00104B2A7B96},YB,2/26/2002,1:20:00 PM,BSEIN,SEIN50,1,No,CLR,,,,15.80,0.19,FALSE,496,,,,,GO,GO,goleary,,,0,,
2250,{82A4437E-4825-11D6-BDE9-00104B2A7B96},YB,3/26/2002,11:55:00 AM,BSEIN,SEIN50,1,No,CLR,,,,18.40,0.12,FALSE,601,,,,,GO,,goleary,,,0,,
2251,{B50703D5-7421-11D6-B278-00105AAA0B77},YB,4/25/2002,10:25:00 AM,BSEIN,SEIN50,1,No,CLR,,,,21.50,0.08,FALSE,825,,,,,GO,GO,szeug,,,0,,
2252,{B507044B-7421-11D6-B278-00105AAA0B77},YB,5/29/2002,10:40:00 AM,BSEIN,SEIN50,1,No,CLR,,,,26.80,0.16,FALSE,1245,,,,,SZ,GO,szeug,,,0,,
2253,{D96C02D5-8936-11D6-BE2A-00104B2A7B96},YB,6/20/2002,9:51:00 AM,BSEIN,SEIN50,1,No,CLR,,,,25.20,,FALSE,714,,,,,GO,SZ,goleary,,,0,,
2254,{C5298A9B-9A6D-11D6-B29C-00105AAA0B77},YB,7/17/2002,10:10:00 AM,BSEIN,SEIN50,1,No,CLR,,,,24.30,0.09,FALSE,839,,,,,SZ,SZ,szeug,,,0,,
2255,{2E4A32BD-73A7-4F24-BD95-75845B1DAC60},YB,8/23/2002,10:10:00 AM,BSEIN,SEIN50,1,No,CLR,,,,20.60,0.2,FALSE,,,,,,BH,BH,bharrell,,,0,,
2256,{A7D17FF3-F7F8-4AF0-A74E-AE8C9DC72821},YB,9/30/2002,10:40:00 AM,BSEIN,SEIN50,1,No,CLR,,,,18.50,0.1,FALSE,781,,,,,BH,KW,bharrell,,,0,,
2257,{E7F2E6B0-AF3F-4C73-8032-2E0636D00F56},YB,10/29/2002,11:06:00 AM,BSEIN,SEIN50,1,No,CLR,,,,14.90,0.18,FALSE,664,,,,,BH,KW,bharrell,,,0,,
2258,{5CA8397F-CD5D-4E82-AFB7-CAB01939CCF7},YB,12/3/2002,9:02:00 AM,BSEIN,SEIN50,1,No,CLR,,,,9.30,0.14,FALSE,650,,,,,BH,KW,bharrell,,,0,,
2259,{CD17A777-4E88-11D7-B2A9-00105AAA0B77},YB,3/4/2003,10:00:00 AM,BSEIN,SEIN50,1,No,CLR,,,,13.00,0.32,FALSE,695,,,,,KW,KW,KWoodside,,,0,,
2260,{478125D8-2C3F-42C3-AC27-715240DDEF1E},YB,10/19/2004,11:50:00 AM,BSEIN,SEIN50,1,No,RAN,,,,14.60,0.17,FALSE,1033,,,,,ch,ch,chogle,,,0,,
2261,{488D6309-8739-4589-9BF6-74B247F3FDB1},YB,11/12/2004,1:30:00 PM,BSEIN,SEIN50,1,No,CLR,,,,15.50,0.18,FALSE,823,,,,,ch,ch,chogle,,,0,,
2262,{DFAF3F23-011E-4C8F-A936-0BBCF2EA8A5A},YB,11/24/2004,1:30:00 PM,BSEIN,SEIN50,1,No,CLR,,,,9.90,0.25,FALSE,842,,,,,ch,ch,chogle,,,0,,
2263,{2734275F-F942-4C64-8B8B-55DFE608695B},YB,12/7/2004,1:55:00 PM,BSEIN,SEIN50,1,No,CLD,,,,8.40,0.29,FALSE,918,,,,,ch,ch,chogle,,,0,,
2264,{44C97008-F039-43E8-BC30-2090106DA5AE},YB,12/22/2004,1:00:00 PM,BSEIN,SEIN50,1,No,CLR,,,,9.50,0.25,FALSE,836,,,,,ch,ch,chogle,,,0,,
2265,{216A3BE6-9F53-4610-A22B-3A7001110376},YB,1/13/2005,1:15:00 PM,BSEIN,SEIN50,1,No,CLD,,,,,,FALSE,,,,,,ch,ch,chogle,,,0,,
2266,{EEC12FBE-DEE7-4B76-9D5F-BE01FFD539F6},YB,2/8/2005,1:00:00 PM,BSEIN,SEIN50,1,No,CLR,,,,13.30,0.1,FALSE,360,,,,,ch,ch,chogle,,,0,,
2267,{99AA4764-5072-40CA-A9E4-B60BAFB359A7},YB,3/17/2005,12:30:00 PM,BSEIN,SEIN50,1,No,CLD,,,,16.60,0.18,FALSE,866,,,,,ch,ch,chogle,,,0,,
2268,{67F46B30-0080-4433-B9D2-1FC7DF1B8B3D},YB,4/19/2005,12:45:00 PM,BSEIN,SEIN50,1,No,CLR,,,,16.80,0.14,FALSE,850,,,,,ch,ch,chogle,,,0,,
